        size,          ops,         time,      op/time
      131072,     31248384,     0.031161,   1.0028e+09
      262144,     31248384,     0.037649,  8.29992e+08
      393216,     31248384,     0.049039,  6.37215e+08
      524288,     31244288,     0.048287,  6.47054e+08
      655360,     31242240,     0.049683,  6.28832e+08
      786432,     31248384,     0.049714,  6.28563e+08
      917504,     31238144,     0.049127,  6.35865e+08
     1048576,     31244288,     0.048137,   6.4907e+08
     1179648,     31242240,     0.051304,  6.08963e+08
     1310720,     31232000,     0.048484,  6.44171e+08
     1441792,     31246336,     0.049005,  6.37615e+08
     1572864,     31236096,     0.048777,  6.40386e+08
     1703936,     31229952,     0.050440,  6.19151e+08
     1835008,     31223808,     0.054726,  5.70548e+08
     1966080,     31242240,     0.062900,  4.96697e+08
     2097152,     31227904,     0.052287,   5.9724e+08
     2228224,     31229952,     0.050778,  6.15029e+08
     2359296,     31223808,     0.049096,  6.35975e+08
     2490368,     31246336,     0.050395,  6.20028e+08
     2621440,     31211520,     0.055439,  5.62989e+08
     2752512,     31223808,     0.075120,  4.15652e+08
     2883584,     31223808,     0.057832,  5.39905e+08
     3014656,     31229952,     0.053025,  5.88967e+08
     3145728,     31211520,     0.050411,  6.19141e+08
     3276800,     31232000,     0.051001,   6.1238e+08
     3407872,     31203328,     0.050514,  6.17716e+08
     3538944,     31242240,     0.052915,  5.90423e+08
     3670016,     31195136,     0.054008,  5.77602e+08
     3801088,     31240192,     0.063569,  4.91438e+08
     3932160,     31211520,     0.060139,   5.1899e+08
     4063232,     31236096,     0.067428,  4.63251e+08
     4194304,     31195136,     0.064089,  4.86747e+08
     4325376,     31223808,     0.079492,  3.92792e+08
     4456448,     31195136,     0.066793,  4.67042e+08
     4587520,     31180800,     0.079670,  3.91374e+08
     4718592,     31186944,     0.071445,  4.36517e+08
     4849664,     31219712,     0.066807,  4.67312e+08
     4980736,     31207424,     0.073670,  4.23611e+08
     5111808,     31229952,     0.076930,  4.05953e+08
     5242880,     31211520,     0.081034,  3.85166e+08
     5373952,     31236096,     0.107546,  2.90444e+08
     5505024,     31223808,     0.119901,  2.60413e+08
     5636096,     31174656,     0.090606,  3.44068e+08
     5767168,     31178752,     0.099685,  3.12773e+08
     5898240,     31242240,     0.107940,  2.89441e+08
     6029312,     31182848,     0.177844,  1.75338e+08
     6160384,     31186944,     0.132149,  2.35998e+08
     6291456,     31162368,     0.099828,  3.12161e+08
     6422528,     31209472,     0.116983,  2.66786e+08
     6553600,     31232000,     0.114333,  2.73167e+08
     6684672,     31229952,     0.130264,  2.39744e+08
     6815744,     31203328,     0.133321,  2.34047e+08
     6946816,     31152128,     0.131408,  2.37064e+08
     7077888,     31186944,     0.132891,  2.34681e+08
     7208960,     31201280,     0.135547,  2.30188e+08
     7340032,     31195136,     0.132272,  2.35841e+08
     7471104,     31168512,     0.143648,  2.16978e+08
     7602176,     31240192,     0.142951,  2.18538e+08
     7733248,     31174656,     0.140297,  2.22205e+08
     7864320,     31211520,     0.143822,  2.17015e+08
     7995392,     31232000,     0.155365,  2.01023e+08
     8126464,     31236096,     0.143509,  2.17659e+08
     8257536,     31223808,     0.176044,  1.77364e+08
